INDEX,TRACK ID,VALID,UTC DATE,UTC TIME,LOCAL DATE,LOCAL TIME,MS,LATITUDE,N/S,LONGITUDE,E/W,ALTITUDE,SPEED,HEADING,G-X,G-Y,G-Z
1,1,FIXED,04/07/2021,15:24:41,04/07/2021,10:24:41,200,40.791957,N,77.879318,W,150,0,0,0,0,0
2,1,FIXED,04/07/2021,15:24:42,04/07/2021,10:24:42,200,40.791957,N,77.879318,W,150,0,0,0,0,0
3,1,FIXED,04/07/2021,15:24:48,04/07/2021,10:24:48,200,40.791957,N,77.879318,W,150,0,0,0,0,0
4,1,FIXED,04/07/2021,15:24:55,04/07/2021,10:24:55,970,40.791957,N,77.879318,W,150,0,0,0,0,0
5,2,FIXED,01/10/2023,14:43:42,01/10/2023,09:43:42,453,4.965913,N,8.319601,E,173.59201,0.181388,129.950587,0,0,0
6,2,FIXED,01/10/2023,14:45:43,01/10/2023,09:45:43,0,4.965677,N,8.319884,E,67.415985,2.907878,150.3843,0,0,0
7,2,FIXED,01/10/2023,14:47:43,01/10/2023,09:47:43,0,4.96562,N,8.319916,E,71.568573,1.361089,123.038471,0,0,0
8,2,FIXED,01/10/2023,14:49:43,01/10/2023,09:49:43,0,4.965498,N,8.320105,E,76.362015,1.128606,71.972352,0,0,0
9,2,FIXED,01/10/2023,14:51:43,01/10/2023,09:51:43,0,4.965513,N,8.320151,E,74.750397,1.23259,108.330649,0,0,0
10,2,FIXED,01/10/2023,14:53:43,01/10/2023,09:53:43,0,4.96533,N,8.320706,E,78.48053,4.408102,305.194583,0,0,0
11,2,FIXED,01/10/2023,14:55:43,01/10/2023,09:55:43,0,4.965673,N,8.320218,E,82.197128,4.62756,342.162212,0,0,0
12,2,FIXED,01/10/2023,14:57:43,01/10/2023,09:57:43,0,4.965842,N,8.320163,E,52.738461,2.165318,196.867832,0,0,0
13,2,FIXED,01/10/2023,14:59:43,01/10/2023,09:59:43,0,4.965519,N,8.320065,E,59.630436,1.32641,120.009711,0,0,0
14,2,FIXED,01/10/2023,15:01:43,01/10/2023,10:01:43,0,4.965401,N,8.320269,E,64.749489,2.269581,120.009711,0,0,0
15,3,FIXED,01/11/2023,08:51:22,01/11/2023,03:51:22,667,5.000418,N,8.354117,E,92.39537,36.80072,0,0,0,0
16,4,FIXED,01/11/2023,11:09:09,01/11/2023,06:09:09,0,5.456404,N,8.718777,E,140.544968,4.020815,110.082293,0,0,0
17,4,FIXED,01/11/2023,11:11:09,01/11/2023,06:11:09,0,5.45612,N,8.719557,E,153.454102,5.120199,58.569087,0,0,0
18,4,FIXED,01/11/2023,11:13:09,01/11/2023,06:13:09,0,5.458106,N,8.722821,E,143.805893,26.985756,40.946056,0,0,0
19,4,FIXED,01/11/2023,11:15:50,01/11/2023,06:15:50,0,5.465646,N,8.729393,E,199.496231,0.336589,235.222895,0,0,0
20,4,FIXED,01/11/2023,11:17:50,01/11/2023,06:17:50,0,5.465578,N,8.729295,E,177.467331,0.07797,183.130778,0,0,0
21,4,FIXED,01/11/2023,11:19:50,01/11/2023,06:19:50,0,5.465563,N,8.729294,E,176.437485,0.061084,149.769737,0,0,0
22,4,FIXED,01/11/2023,11:21:50,01/11/2023,06:21:50,0,5.465558,N,8.729297,E,175.972092,0.055495,167.695061,0,0,0
23,4,FIXED,01/11/2023,11:23:50,01/11/2023,06:23:50,0,5.465551,N,8.729299,E,175.780594,0.183802,145.365874,0,0,0
24,4,FIXED,01/11/2023,11:25:50,01/11/2023,06:25:50,0,5.465548,N,8.729301,E,175.350967,0.0404,261.666585,0,0,0
25,4,FIXED,01/11/2023,11:27:50,01/11/2023,06:27:50,0,5.465548,N,8.729297,E,174.952347,0.181748,178.436249,0,0,0
26,4,FIXED,01/11/2023,11:29:50,01/11/2023,06:29:50,0,5.465543,N,8.729298,E,174.63028,0.02139,67.772783,0,0,0
27,4,FIXED,01/11/2023,11:31:50,01/11/2023,06:31:50,0,5.465544,N,8.729301,E,174.31868,0.077571,205.494694,0,0,0
28,4,FIXED,01/11/2023,11:33:50,01/11/2023,06:33:50,0,5.465497,N,8.729278,E,171.544418,0.13284,93.596726,0,0,0
29,4,FIXED,01/11/2023,11:35:50,01/11/2023,06:35:50,0,5.465496,N,8.729303,E,165.222855,0.052839,32.394734,0,0,0
30,4,FIXED,01/11/2023,11:37:50,01/11/2023,06:37:50,0,5.465503,N,8.729307,E,164.103622,0.079728,12.834031,0,0,0
31,4,FIXED,01/11/2023,11:39:50,01/11/2023,06:39:50,0,5.465505,N,8.729308,E,163.633286,0.026758,33.651091,0,0,0
32,4,FIXED,01/11/2023,11:41:50,01/11/2023,06:41:50,0,5.465507,N,8.729309,E,163.345352,0.043397,7.386337,0,0,0
33,4,FIXED,01/11/2023,11:43:50,01/11/2023,06:43:50,0,5.465511,N,8.72931,E,163.069748,0.122351,10.40915,0,0,0
34,4,FIXED,01/11/2023,11:45:50,01/11/2023,06:45:50,0,5.465515,N,8.729311,E,163.074417,0.103779,357.842766,0,0,0
35,4,FIXED,01/11/2023,11:47:50,01/11/2023,06:47:50,0,5.465523,N,8.72931,E,162.922882,0.041787,15.930011,0,0,0
36,4,FIXED,01/11/2023,11:49:50,01/11/2023,06:49:50,0,5.465524,N,8.729311,E,162.913437,0.067974,1.840142,0,0,0
37,4,FIXED,01/11/2023,11:51:50,01/11/2023,06:51:50,0,5.465535,N,8.729311,E,162.565735,0.115095,26.484459,0,0,0
38,4,FIXED,01/11/2023,11:53:50,01/11/2023,06:53:50,0,5.465564,N,8.729326,E,162.557343,1.80169,244.43633,0,0,0
39,4,FIXED,01/11/2023,11:55:50,01/11/2023,06:55:50,0,5.465547,N,8.72929,E,162.364258,0.064076,298.042718,0,0,0
40,4,FIXED,01/11/2023,11:57:50,01/11/2023,06:57:50,0,5.465548,N,8.729288,E,162.572174,0.008964,128.749226,0,0,0
41,4,FIXED,01/11/2023,11:59:50,01/11/2023,06:59:50,0,5.46553,N,8.729311,E,163.073349,0.147974,22.415512,0,0,0
42,4,FIXED,01/11/2023,12:01:50,01/11/2023,07:01:50,0,5.465608,N,8.729344,E,164.993484,0.037679,131.464913,0,0,0
43,4,FIXED,01/11/2023,12:03:50,01/11/2023,07:03:50,0,5.465592,N,8.729362,E,173.304764,0.053275,297.96786,0,0,0
44,4,FIXED,01/11/2023,12:05:50,01/11/2023,07:05:50,0,5.465619,N,8.72931,E,169.234589,0.080021,354.327146,0,0,0
45,4,FIXED,01/11/2023,12:07:50,01/11/2023,07:07:50,0,5.465622,N,8.72931,E,168.311859,0.003514,93.99072,0,0,0
46,4,FIXED,01/11/2023,12:09:50,01/11/2023,07:09:50,0,5.465609,N,8.729498,E,169.106949,2.831898,138.815676,0,0,0
47,4,FIXED,01/11/2023,12:11:50,01/11/2023,07:11:50,0,5.465411,N,8.729672,E,172.483459,1.918366,296.637741,0,0,0
48,4,FIXED,01/11/2023,12:13:50,01/11/2023,07:13:50,0,5.465578,N,8.729338,E,171.84021,0.073636,7.608431,0,0,0
49,4,FIXED,01/11/2023,12:15:50,01/11/2023,07:15:50,0,5.465587,N,8.729339,E,171.794998,0.031745,22.316771,0,0,0
50,4,FIXED,01/11/2023,12:17:50,01/11/2023,07:17:50,0,5.466355,N,8.729655,E,163.606033,0.080152,2.461973,0,0,0
51,4,FIXED,01/11/2023,12:19:50,01/11/2023,07:19:50,0,5.466376,N,8.729656,E,164.987793,0.282091,301.689475,0,0,0
