"village","village_id","visited","source","longitude","latitude","treecover_tot_area","shrubland_tot_area","grassland_tot_area","builtup_tot_area","treecover_patch_area","shrubland_patch_area","grassland_patch_area","builtup_patch_area","landscape_patch_area","landscape_area_sd","bare_tot_area","bare_patch_area","water_tot_area","water_patch_area","cropland_tot_area","cropland_patch_area","wetland_tot_area","wetland_patch_area","treecover_percent","shrubland_percent","grassland_percent","builtup_percent","bare_percent","water_percent","cropland_percent","wetland_percent","num_buildings","state","LGA","SenDist","lassa_occ","travel_time","distance_to_road","build_area"
"Dunlop Rubber Plantation","501275742",FALSE,"OSM",8.2945,5.3413,1544.39594584545,1.18075682298094,47.5190911349306,6.92314252323354,77.2197972922726,0.0421698865350334,0.374166071928587,0.173078563080839,7.44194854105394,105.267019615774,NA,NA,NA,NA,NA,NA,NA,NA,0.965236042387819,0.00073796428040519,0.029699080464652,0.00432691286712396,NA,NA,NA,NA,241,"Cross River","Akamkpa","Cross River South",0.00777062369464944,113.73,1233,21594.4615
"Obuton","501331531",FALSE,"OSM",8.4344885,5.7046315,1593.5290211269,0.00849465340274054,3.52528116213732,2.92216077054275,796.764510563452,0.00849465340274054,0.153273094005971,0.182635048158922,35.5559763628133,237.519855753327,0.0339786136109622,0.0113262045369874,NA,NA,NA,NA,NA,NA,0.995943851005543,5.30909554248338e-06,0.0022032746501306,0.00182632886661428,2.12363821699335e-05,NA,NA,NA,143,"Cross River","Akamkpa","Cross River South",0.00777062369464944,173.23,25073,19274.2511
"Okom Ita","501331575",FALSE,"OSM",8.332044,5.3358965,1509.8312011497,0.416238016734286,19.1639380765827,70.4376660155246,50.32770670499,0.0693730027890477,0.159699483971522,0.317286783853714,4.11315921934858,76.5028575926511,0.15290376124933,0.0169893068054811,0.0169893068054811,0.00849465340274054,NA,NA,NA,NA,0.943633332625454,0.000260145681581686,0.0119773195438425,0.0440230202382722,9.55637197647009e-05,1.06181910849668e-05,NA,NA,2221,"Cross River","Akamkpa","Cross River South",0.00777062369464944,118.1,103,313135.5133
"Nkpani","501331763",FALSE,"OSM",8.1572605,5.82345,948.198696774107,272.950203136859,191.333573243328,75.6194045911963,5.32695897064105,0.461064532325775,0.372969928349567,0.630161704926636,0.908585426647699,19.2964800372184,0.0849465340274054,0.0212366335068514,NA,NA,111.832112047079,0.315909921036947,NA,NA,0.592617171738623,0.170591857971076,0.119582067998896,0.0472615685191871,5.30909554248338e-05,NA,0.0698942428167937,NA,1127,"Cross River","Yakurr","Cross River Central",0.189682403769197,77.25,2261,171067.7177
"Umuka","501331851",FALSE,"OSM",7.8835,6.0144,856.006223394164,20.0558766838704,575.665671796921,35.6180817176911,6.90327599511423,0.0919994343296808,2.10096960509825,0.105691637144484,1.18695766789807,22.9677712567273,0.101935840832886,0.0169893068054811,NA,NA,112.571146893118,0.28938598173038,NA,NA,0.534997557816051,0.0125347745758033,0.359786786723014,0.0222610376096328,6.37091465098006e-05,NA,0.0703561341289898,NA,1364,"Ebonyi","Ohaozara","Ebonyi South",0.191837717764018,67.12,3471,150177.2671
"Umuezeaka","501332154",FALSE,"OSM",7.9733858,6.196866,327.91061065259,142.998995381734,720.898761023576,33.4349557931868,1.0443013078108,0.285997990763468,2.01368369000999,0.102876787055959,0.812604843233417,6.00959772527026,0.3143021759014,0.0261918479917833,NA,NA,374.461311299608,0.814046328912192,NA,NA,0.204941706130944,0.0893733143621653,0.450556393212852,0.0208966000552146,0.000196436535071885,NA,0.234035549703752,NA,1507,"Ebonyi","Ezza North","Ebonyi Central",0.612219638458717,29.91,6826,159391.9754
"Uburu","501332377",FALSE,"OSM",7.7692,6.0446,715.598097300266,52.4629794153256,421.819004019887,143.704051614162,3.32836324325705,0.14654463523834,0.864383204958785,0.421419506199888,0.859762996414077,6.70928468051023,4.94388828039499,0.0581633915340588,NA,NA,261.490915696562,0.699173571381182,NA,NA,0.447243517594343,0.0327889740703774,0.263633757353097,0.0898139692921914,0.00308989360572533,NA,0.163429888084266,NA,2871,"Ebonyi","Ohaozara","Ebonyi South",0.191837717764018,64.08,5317,442214.1638
"Ndon Nwong","501332515",FALSE,"OSM",8.169,5.195,1522.18242719729,0.0594625738191838,70.3442248280944,7.34787519337057,72.484877485585,0.0148656434547959,0.305844455774324,0.0930110783970958,4.74783067159228,82.88691121549,NA,NA,NA,NA,0.0849465340274054,0.0283155113424685,NA,NA,0.951352757544225,3.71636687973837e-05,0.0439646201873049,0.00459236764424813,NA,NA,5.30909554248338e-05,NA,133,"Cross River","Odukpani","Cross River South",0.00759948791574802,153.31,2981,17637.7711
"Nkpan Uruk","501332528",FALSE,"OSM",8.076203,5.2165655,1429.06403659644,NA,66.3432430754036,0.135914454443849,68.0506684093545,NA,2.28769803708288,0.0453048181479495,10.8844825600449,117.774407612077,1.63946810672892,0.0565333829906526,94.324631384031,94.324631384031,6.71077618816503,0.126618418644623,1.80086652138099,0.163715138307363,0.893154452207522,NA,0.0414640361867952,8.49455286797341e-05,0.00102465543969929,0.0589521969037355,0.00419418547856187,0.00112552825500648,51,"Cross River","Odukpani","Cross River South",0.00759948791574802,190.32,4393,7207.9619
"Onyen Okpon","501332860",FALSE,"OSM",8.4735085,5.9740345,1474.68882002256,16.7514565102043,82.6274936484572,16.0973681981933,70.2232771439316,0.117143052518912,0.432604678787734,0.412753030722906,3.52427078486035,68.8241572769113,0.00849465340274054,0.00849465340274054,NA,NA,9.02981656711319,0.177055226806141,0.815486726663092,0.101935840832886,0.9216696043662,0.0104695364097772,0.0516415723417359,0.010060736053006,5.30909554248338e-06,NA,0.00564356856165984,0.000509673172078405,653,"Cross River","Obubra","Cross River Central",0.217319291173103,120.89,4582,77035.6361
